date,open,high,low,close,volume,cma,y
 2016/08/15,3056.48,3137.48,3053.87,3125.2,297616512,3074.4228571429,1
 2016/08/16,3130.53,3140.44,3102.07,3110.04,278328928,3087.1871428571,-1
 2016/08/17,3106.99,3114.25,3090.28,3109.55,213839632,3098.9257142857,-1
 2016/08/18,3107.75,3125.58,3093.32,3104.11,229359088,3104.5028571429,-1
 2016/08/19,3100.39,3113.34,3082.77,3108.1,194347456,3098.8857142857,-1
 2016/08/22,3107.38,3112.74,3083.59,3084.81,185387920,3092.9271428571,-1
 2016/08/23,3081.57,3101.11,3073.53,3089.71,161368960,3087.3214285714,-1
 2016/08/24,3092.02,3097.15,3079.55,3085.88,145707440,3082.4528571429,-1
 2016/08/25,3073.44,3073.44,3041.51,3068.33,174032976,3077.6785714286,-1
 2016/08/26,3069.85,3087.65,3063.89,3070.31,149663904,3077.7757142857,-1
 2016/08/29,3068.46,3074.94,3058.79,3070.03,144500000,3074.0042857143,1
 2016/08/30,3071.44,3082.99,3065.97,3074.68,140434816,3071.3571428571,1
 2016/08/31,3072.92,3087.7,3063.4,3085.49,141368608,3071.8957142857,1
 2016/09/01,3083.96,3088.7,3062.88,3063.31,155191088,3074.81,1
 2016/09/02,3057.49,3072.53,3050.49,3067.35,150446912,3077.9385714286,1
 2016/09/05,3070.71,3085.49,3065.33,3072.1,144963312,3080.9771428571,1
 2016/09/06,3071.06,3095.51,3053.19,3090.71,172908528,3080.0285714286,-1
 2016/09/07,3091.33,3105.68,3087.88,3091.93,186956768,3074.1242857143,-1
 2016/09/08,3089.95,3096.78,3083.9,3095.95,145883776,3067.8614285714,-1
 2016/09/09,3095.43,3101.79,3078.22,3078.85,160692928,3057.9685714286,-1
 2016/09/12,3037.51,3040.95,2999.93,3021.98,206012080,3048.7314285714,-1
 2016/09/13,3025.03,3029.72,3008.74,3023.51,135387584,3038.8842857143,-1
 2016/09/14,3008.9,3017.94,2995.42,3002.85,133413400,3028.8728571429,-1
 2016/09/19,3005.32,3026.65,3005.32,3026.05,119225024,3023.6528571429,-1
 2016/09/20,3027.17,3027.82,3015.88,3023,118924120,3025.3557142857,-1
 2016/09/21,3021.58,3032.45,3017.54,3025.87,115721216,3019.2014285714,-1
 2016/09/22,3038.42,3054.44,3035.07,3042.31,139309552,3018.5328571429,-1
 2016/09/23,3044.79,3046.8,3032.8,3033.9,125590976,3013.0771428571,-1
